epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,9890.12,1.44006,1.16295,0.0135,0.8317,0.8428,0.8978,0.57008,1.21882,0.7251,0.01268,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,10199.3,1.43352,1.15715,0.01342,0.85039,0.83993,0.90838,0.58969,1.17042,0.67307,0.01195,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,10507.3,1.42731,1.14621,0.01335,0.84521,0.84301,0.90377,0.57795,1.20058,0.70561,0.01238,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,10815.1,1.42608,1.14707,0.01338,0.84419,0.83775,0.89922,0.574,1.20458,0.70562,0.01254,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,11122.2,1.41907,1.14924,0.01337,0.83288,0.84296,0.89807,0.56759,1.20939,0.71788,0.01245,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,11430.3,1.411,1.13793,0.01332,0.83946,0.85545,0.90921,0.58726,1.18565,0.70249,0.01218,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,11737.7,1.40952,1.12729,0.01326,0.85122,0.84928,0.90973,0.58696,1.18049,0.69122,0.01215,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,12044.7,1.40522,1.12313,0.01323,0.84699,0.83368,0.90076,0.57433,1.20216,0.71354,0.01237,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,12352.4,1.40913,1.1235,0.0131,0.85104,0.84603,0.90853,0.57303,1.2267,0.68421,0.0127,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,12659.9,1.40889,1.10543,0.01293,0.85901,0.84909,0.91255,0.57906,1.21581,0.68532,0.01254,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
